id,mas_ifsc_number,mas_ifsccode_bank_id,mas_ifsc_code_micr
560,ALLA0210454,170,202010501
561,ALLA0210455,170,NA
562,ALLA0210456,170,282010004
563,ALLA0210457,170,NA
564,ALLA0210458,170,271010254
565,ALLA0210459,170,NA
566,ALLA0210460,170,788010102
567,ALLA0210461,170,788010002
568,ALLA0210462,170,784010002
569,ALLA0210463,170,786010202
570,ALLA0210464,170,783010102
571,ALLA0210465,170,782010102
572,ALLA0210466,170,785010002
573,ALLA0210467,170,823010001
574,ALLA0210468,170,800010006
575,ALLA0210469,170,NA
576,ALLA0210470,170,380010005
577,ALLA0210471,170,380010007
578,ALLA0210472,170,134010003
579,ALLA0210473,170,180010001
580,ALLA0210474,170,682010004
581,ALLA0210475,170,495010506
582,ALLA0210476,170,NA
583,ALLA0210477,170,NA
584,ALLA0210478,170,413010002
585,ALLA0210479,170,400010017
586,ALLA0210480,170,768010202
587,ALLA0210481,170,NA
588,ALLA0210482,170,799010002
589,ALLA0210483,170,210010354
590,ALLA0210484,170,NA
591,ALLA0210485,170,NA
592,ALLA0210486,170,273010506
593,ALLA0210487,170,210010153
594,ALLA0210488,170,208010007
595,ALLA0210489,170,208010012
596,ALLA0210490,170,208010009
597,ALLA0210491,170,262010757
598,ALLA0210492,170,231010523
599,ALLA0210493,170,NA
600,ALLA0210494,170,700010008
601,ALLA0210495,170,700010044
602,ALLA0210496,170,734010502
603,ALLA0210497,170,700010137
604,ALLA0210498,170,700010119
605,ALLA0210499,170,NA
606,ALLA0210500,170,732010012
607,ALLA0210501,170,NA
608,ALLA0210502,170,WAITING
609,ALLA0210503,170,723010002
610,ALLA0210504,170,700010130
611,ALLA0210505,170,WAITING
612,ALLA0210506,170,110010018
613,ALLA0210508,170,804010501
614,ALLA0210509,170,805010501
615,ALLA0210510,170,843010503
616,ALLA0210511,170,843010509
617,ALLA0210513,170,205010102
618,ALLA0210514,170,WAITING
619,ALLA0210515,170,110010045
620,ALLA0210516,170,756010102
621,ALLA0210517,170,800010012
622,ALLA0210518,170,231010000
623,ALLA0210519,170,NA
624,ALLA0210520,170,211012001
625,ALLA0210521,170,700010122
626,ALLA0210522,170,395010002
627,ALLA0210523,170,400010009
628,ALLA0210524,170,NA
629,ALLA0210525,170,NA
630,ALLA0210526,170,262010759
631,ALLA0210527,170,462010014
632,ALLA0210528,170,230010001
633,ALLA0210529,170,NA
634,ALLA0210530,170,NA
635,ALLA0210531,170,485010001
636,ALLA0210532,170,NA
637,ALLA0210533,170,827010002
638,ALLA0210534,170,496010001
639,ALLA0210535,170,484010001
640,ALLA0210536,170,812010502
641,ALLA0210537,170,250010006
642,ALLA0210539,170,721010707
643,ALLA0210540,170,NA
644,ALLA0210541,170,NA
645,ALLA0210542,170,462010005
646,ALLA0210543,170,NA
647,ALLA0210545,170,413010002
648,ALLA0210546,170,NA
649,ALLA0210547,170,221010005
650,ALLA0210548,170,NA
651,ALLA0210549,170,700010118
652,ALLA0210550,170,NA
653,ALLA0210551,170,246010602
654,ALLA0210552,170,NA
655,ALLA0210553,170,276010058
656,ALLA0210554,170,481010001
657,ALLA0210555,170,NA
658,ALLA0210556,170,NA
659,ALLA0210557,170,NA
660,ALLA0210558,170,NA
661,ALLA0210559,170,NA
662,ALLA0210560,170,283010501
663,ALLA0210561,170,700010524
664,ALLA0210562,170,NA
665,ALLA0210563,170,210010505
666,ALLA0210564,170,144010004
667,ALLA0210565,170,NA
668,ALLA0210566,170,700010010
669,ALLA0210567,170,226010003
670,ALLA0210568,170,232010102
671,ALLA0210569,170,700010184
672,ALLA0210570,170,WAITING
673,ALLA0210571,170,226010010
674,ALLA0210572,170,302010004
675,ALLA0210574,170,825010501
676,ALLA0210575,170,751010012
677,ALLA0210576,170,WAITING
678,ALLA0210577,170,133010053
679,ALLA0210578,170,802010505
680,ALLA0210579,170,572010002
681,ALLA0210580,170,226010004
682,ALLA0210581,170,422010002
683,ALLA0210582,170,133010004
684,ALLA0210583,170,787010002
685,ALLA0210584,170,482010008
686,ALLA0210585,170,785010202
687,ALLA0210586,170,146010002
688,ALLA0210587,170,NA
689,ALLA0210588,170,800010005
690,ALLA0210589,170,NA
691,ALLA0210591,170,110010031
692,ALLA0210592,170,110010016
693,ALLA0210594,170,785010503
694,ALLA0210595,170,841010703
695,ALLA0210596,170,262010766
696,ALLA0210597,170,NA
697,ALLA0210598,170,700010012
698,ALLA0210599,170,797010501
699,ALLA0210600,170,208010014
700,ALLA0210601,170,854010703
701,ALLA0210602,170,NA
702,ALLA0210603,170,NA
703,ALLA0210604,170,208010004
704,ALLA0210605,170,221010013
705,ALLA0210606,170,712010021
706,ALLA0210607,170,271010056
707,ALLA0210608,170,262010775
708,ALLA0210609,170,795010002
709,ALLA0210610,170,271010166
710,ALLA0210611,170,NA
711,ALLA0210612,170,700010028
712,ALLA0210613,170,700010043
713,ALLA0210614,170,700010040
714,ALLA0210615,170,110010015
715,ALLA0210616,170,700010035
716,ALLA0210617,170,462010011
717,ALLA0210618,170,673010002
718,ALLA0210619,170,110010005
719,ALLA0210620,170,110010011
720,ALLA0210621,170,190010002
721,ALLA0210622,170,110010049
722,ALLA0210623,170,231010016
723,ALLA0210624,170,400010004
724,ALLA0210627,170,NA
725,ALLA0210628,170,NA
726,ALLA0210631,170,700010022
727,ALLA0210632,170,212010502
728,ALLA0210633,170,700010023
729,ALLA0210634,170,231010012
730,ALLA0210635,170,232010501
731,ALLA0210636,170,803010503
732,ALLA0210637,170,133010052
733,ALLA0210638,170,110010082
734,ALLA0210639,170,144010976
735,ALLA0210640,170,NA
736,ALLA0210641,170,285010153
737,ALLA0210642,170,271010255
738,ALLA0210643,170,231010015
739,ALLA0210644,170,281010004
740,ALLA0210645,170,700010531
741,ALLA0210646,170,815010506
742,ALLA0210647,170,NA
743,ALLA0210648,170,110010035
744,ALLA0210649,170,210010358
745,ALLA0210650,170,NA
746,ALLA0210651,170,485010019
747,ALLA0210652,170,271010153
748,ALLA0210653,170,NA
749,ALLA0210654,170,228010053
750,ALLA0210655,170,700010152
751,ALLA0210656,170,210010352
752,ALLA0210657,170,485010011
753,ALLA0210658,170,132010252
754,ALLA0210659,170,NA
755,ALLA0210660,170,271010256
756,ALLA0210661,170,713010802
757,ALLA0210662,170,142010052
758,ALLA0210663,170,262010957
759,ALLA0210665,170,NA
760,ALLA0210666,170,242010001
761,ALLA0210667,170,135010053
762,ALLA0210668,170,210010165
763,ALLA0210669,170,231010157
764,ALLA0210670,170,262010771
765,ALLA0210671,170,244010451
766,ALLA0210672,170,250010151
767,ALLA0210673,170,271010351
768,ALLA0210674,170,250010008
769,ALLA0210675,170,700010026
770,ALLA0210676,170,271010060
771,ALLA0210677,170,NA
772,ALLA0210678,170,NA
773,ALLA0210679,170,411010003
774,ALLA0210680,170,NA
775,ALLA0210681,170,NA
776,ALLA0210682,170,140010552
777,ALLA0210683,170,WAITING
778,ALLA0210684,170,NA
779,ALLA0210685,170,NA
780,ALLA0210686,170,176010002
781,ALLA0210687,170,NA
782,ALLA0210688,170,641010003
783,ALLA0210689,170,847010502
784,ALLA0210690,170,462010017
785,ALLA0210691,170,462010015
786,ALLA0210692,170,700010507
787,ALLA0210693,170,226010012
788,ALLA0210694,170,NA
789,ALLA0210695,170,211010006
790,ALLA0210696,170,826010501
791,ALLA0210697,170,826010507
792,ALLA0210698,170,700010065
793,ALLA0210699,170,271010187
794,ALLA0210700,170,262010772
795,ALLA0210701,170,271010167
796,ALLA0210702,170,271010158
797,ALLA0210703,170,700010126
798,ALLA0210705,170,800010004
799,ALLA0210706,170,440010005
800,ALLA0210707,170,110010003
801,ALLA0210708,170,NA
802,ALLA0210709,170,700010047
803,ALLA0210710,170,444010505
804,ALLA0210711,170,110010004
805,ALLA0210712,170,110010014
806,ALLA0210713,170,833010202
807,ALLA0210714,170,78601002
808,ALLA0210715,170,798010502
809,ALLA0210716,170,380010004
