id,mas_ifsc_number,mas_ifsc_bank_id,mas_ifsc_branch_id,mas_ifsc_code_micr,mas_ifsc_status_id,created_at,updated_at,error_reason
9096,UTIB0SBPP03,11,9096,396804032,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9097,UTIB0SBPP04,11,9097,396504502,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9098,UTIB0SBPP05,11,9098,396804031,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9099,UTIB0SBPP06,11,9099,396804503,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9100,UTIB0SBPP07,11,9100,396804034,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9101,UTIB0SBPP08,11,9101,396804033,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9102,UTIB0SBPP09,11,9102,396804504,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9103,UTIB0SBPP10,11,9103,396804035,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9104,UTIB0SBPP11,11,9104,396804001,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9125,UTIB0SGCB02,11,9125,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9126,UTIB0SGCB03,11,9126,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9127,UTIB0SGCB04,11,9127,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9128,UTIB0SGCB05,11,9128,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9129,UTIB0SGCB06,11,9129,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9130,UTIB0SGCB07,11,9130,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
9131,UTIB0SGCB08,11,9131,NA,1,"17/01/26 10:14","17/01/26 10:14","Invalid FK (bank_id or branch_id)"
